COD_ETU,CNE,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
13012804,1311227676,7,NV,2,2015,4.5,NRA,1,2015,10,V,2,2014,10,V,1,2014,8.75,NV,2,2015,13,V,1,2014,8.875,NV,2,2015,8.675,NV,2,2015,7.5,NV,2,2015,12,V,1,2014,10.25,V,1,2015,13.5,V,1,2014,7.2,NV,2,2015,9.854,NV,2,2015,,,,,,,,
13012832,1311626859,8.1,AC,2,2015,10.5,V,1,2015,12.4,V,1,2015,14.2,V,1,2015,9.25,AC,2,2015,10.725,V,1,2015,10.863,V,2,2015,2.625,NRA,1,2015,10,V,2,2015,10,V,2,2015,14,V,1,2015,11.8,V,1,2015,6,NV,2,2015,9.071,NV,2,2015,,,,,,,,
13012851,1311690774,9.5,AC,2,2015,10,V,2,2015,7,AC,2,2015,15.5,V,1,2014,7,AC,2,2015,13.15,V,1,2014,10.358,V,2,2015,7,AC,2,2015,10,V,2,2015,12.2,V,1,2014,16.5,V,1,2015,13.8,V,1,2015,10,V,2,2015,11.583,V,2,2015,,,,,,,,
13012870,1311010310,10,V,2,2015,10,V,2,2015,10,V,2,2015,10.3,V,1,2014,8.25,AC,2,2015,13.95,V,1,2014,10.417,V,2,2015,7.5,AC,2,2015,11.075,V,1,2015,13.4,V,1,2014,12.9,V,1,2014,10,V,1,2014,7,AC,2,2015,10.313,V,2,2015,,,,,,,,
13012878,1311696578,8,AC,2,2015,10,V,2,2015,10,V,2,2015,7.5,AC,2,2015,10,V,2,2015,12,V,1,2014,9.583,AC,2,2015,7,AC,2,2015,10,V,2,2015,10,V,1,2015,9.5,AC,2,2015,13.5,V,1,2015,10,V,2,2015,10,V,2,2015,,,,,,,,
13013005,1311227673,9,AC,2,2015,7.825,AC,2,2015,10.4,V,1,2014,13.2,V,1,2014,10,V,2,2015,12.3,V,1,2014,10.454,V,2,2015,10.2,V,1,2014,9,AC,2,2014,10.2,V,1,2014,16.2,V,1,2014,11.25,V,1,2014,12.05,V,1,2014,11.483,V,2,2014,,,,,,,,
13013116,1311694581,10,V,2,2015,10,V,2,2015,16.3,V,1,2015,16.9,V,1,2015,12.68,V,1,2015,10.275,V,1,2015,12.693,V,2,2015,12.775,V,1,2015,16.65,V,1,2015,12.125,V,1,2015,13,V,1,2015,16.8,V,1,2015,13,V,1,2015,14.058,V,1,2015,,,,,,,,
13013133,1311367106,,,,,,,,,,,,,13.8,V,1,2015,,,,,14.65,V,1,2014,,,1,2015,5.05,NV,2,2015,,,,,,,,,,,,,15.2,V,1,2015,,,,,,,1,2015,,,,,,,,
13013134,1311344567,8.6,AC,2,2015,10,V,2,2015,10,V,2,2015,12,V,1,2014,10.25,V,1,2015,13.575,V,1,2014,10.738,V,2,2015,10,V,2,2015,10.4,V,1,2015,11.1,V,1,2014,11,V,1,2015,10.5,V,1,2014,12.1,V,1,2015,10.85,V,2,2015,,,,,,,,
13013137,1311344554,9,AC,2,2015,10,V,2,2015,10.2,V,1,2015,15.6,V,1,2014,7.2,AC,2,2015,12.175,V,1,2014,10.696,V,2,2015,5.05,NV,2,2015,10,V,2,2015,15.2,V,1,2014,17.1,V,1,2014,14.8,V,1,2015,3.8,NRA,1,2015,10.992,NV,2,2015,,,,,,,,
